PubChem_ID,Structure_SMILES,QED,MolecularVolume,SurfaceArea,RadiusOfGyration,MolecularWeight,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,NumRings,WienerIndex,ZagrebIndex,TPSA,BalabanIndex,Kappa1,Kappa2,Kappa3,Predicted_pIC50
69319608,O=C(c1ccccc1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1,0.604211916,475.2019679,573.9700347,5.580047569,475.524,2.4561,2,5,4,5,4174,188,98.4,1.294578847,22.7659943,9.693996811,4.662167905,18.26894181
146552766,CC1(Oc2ccc3[nH]nc(-c4cc(N5CCN(C(=O)CCOCCOCCOCCOCCNc6cccc7c6C(=O)N(C6CCC(=O)NC6=O)C7=O)CC5)ncn4)c3c2)CC1,0.081060072,853.3758888,1029.929511,8.982030236,853.934,2.5696,3,15,21,8,27777,332,219.74,0.644558149,42.66159147,19.3543518,10.01815648,18.26853326
60196195,Fc1cccc(-n2cnc3c(NCc4nc5c(F)c(F)ccc5[nH]4)nc(N4CCOCC4)nc32)c1,0.397141605,480.1633919,506.4180803,5.555270758,480.454,3.5578,2,8,5,6,3796,196,96.78,1.397945112,21.35044879,8.545205444,3.907764863,18.25627555
44315450,N=C(N)c1ccc(CC(=O)N2CCN(C(=O)OC3CCCC(OC(=O)N4CCN(C(=O)Cc5ccc(C(=N)N)cc5)CC4)CCC3)CC2)cc1,0.239630159,688.3696813,875.1729777,9.662149873,688.83,2.69294,4,8,8,5,13928,256,199.44,0.963555366,36.14844323,16.99178186,9.954305487,18.25025225
57336812,CN1CCN(c2cccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)c2)CC1,0.487268088,462.1837951,557.6637897,5.836888447,462.579,3.2952,1,8,5,5,3575,182,82.84,1.413419626,21.41751712,8.491763011,4.551308093,18.24735789
23647109,CN(C)C(=O)c1cccc(-c2cc(N3CC(N)C(c4cc(F)c(F)cc4F)C3)ncn2)c1,0.629748866,441.177645,512.3306592,5.703026041,441.457,3.1938,1,5,4,4,3125,172,75.35,1.604299119,21.75997854,8.583164147,4.156088456,18.24239401
9810632,CCC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)N(C)C(=O)C2CCC=NN2C(=O)C2CCC=NN2C1=O,0.462117904,738.3853313,919.8768244,4.788447724,738.89,2.2727,2,8,6,6,10258,284,164.16,1.434924045,38.32839162,17.16545595,8.215915265,18.24118057
16718576,CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc1-2,0.618338474,460.2699076,592.1422562,5.361521158,460.586,2.5658,2,8,4,5,3725,190,91.21,1.430338164,22.3380546,8.393859486,3.895857505,18.23961017
34183,CC1NC(=O)C(CC(C)(C)O)NC(=O)C2Cc3c([nH]c4ccccc34)SCC(NC(=O)C(C(C)O)NC1=O)C(=O)N1CC(O)CC1C(=O)NC(C)C(=O)N2,0.153209599,772.3214107,886.6305032,4.631104963,772.882,-2.7181,10,11,3,5,9888,288,271.39,1.686374648,40.4647433,16.33634164,9.312410749,18.2331575
155035,CC1NC(=O)C(CC(C)(C)O)NC(=O)C2Cc3c([nH]c4ccccc34)SCC(NC(=O)C(C(C)O)NC1=O)C(=O)N1CCCC1C(=O)NC(C)C(=O)N2,0.171964844,756.3264961,885.2053313,4.585551697,756.883,-1.6889,9,10,3,5,9423,282,251.16,1.677248244,39.52582349,16.13676321,9.2833233,18.22624254
