PubChem_CID,Structure_SMILES,predicted_pIC50
11016071,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)c(Cl)nc(NC3CCC3)c2=O)cc1,19.034918
124081363,COCC(=O)NC1C(C)CC(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)CC1N,19.033567
11192346,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc(C(N)=O)n1C,19.03016
135506856,Nc1nc2c(ncn2COCCOC(=O)c2ccccc2)c(=O)[nH]1,19.025476
54709841,CN1CCCN(C2CCCCn3c2nc(C(=O)NCc2ccc(F)cc2)c(O)c3=O)S1(=O)=O,19.023874
6918468,CC(=O)NC(Cc1ccccc1)C(=O)NC1CCCNC(=O)C(CCCN=C(N)N)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(CC2CCCCC2)NC(=O)C2CCCN2C1=O,19.021624
3708,O=C1C(c2c(O)[nH]c3ccc(S(=O)(=O)O)cc23)=Nc2ccccc21,19.019205
471246,NC(=O)c1cccc(CN2C(=O)N3C(Cc4ccccc4)C3C(O)C2Cc2ccccc2)c1,19.003998
54709829,CC(=O)N(C)C1CCCCn2c1nc(C(=O)NCc1ccc(F)cc1)c(O)c2=O,19.002518
10895707,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)c(Cl)nc(NCCO)c2=O)cc1,18.99507
146371153,Cc1cc(CNC(=O)c2ccc(F)c(CNC3=NCCN3)c2)ccc1Cl,18.98975
126483592,N#Cc1ccc(N2CCN(CCCc3cc4c(N)cc(F)cc4c(=O)[nH]3)CC2)cc1,18.98222
146370715,Cc1cnc(F)c(-c2cc(CNC3=NCCN3)cc(C(=O)NCc3cc(Cl)ccn3)c2)c1,18.981586
146370821,Cc1nc(F)ccc1-c1cc(CNC2=NCCN2)cc(C(=O)NCc2ccc(Cl)c(Cl)c2)c1,18.981586
146370758,Cc1ccncc1-c1cc(CNC2=NCCN2)cc(C(=O)NCc2cc(F)cc(Cl)c2)c1,18.981586
67182916,NC(=O)c1cccc(C2CC3CCC(C2)N3CCN(CC2CCC(F)(F)CC2)C(=O)CO)c1,18.980268
138374927,O=C1NNC(Cc2ccc(F)c(C(=O)N3CCN(c4ccc5[nH]cnc5n4)CC3)c2)C2CCCCC12,18.979225
126480214,COC(=O)NC(C(=O)N1CC(F)(F)CC1c1ncc(-c2ccc(-c3ccc4c(ccc5[nH]c(C6C[Si](C)(C)CN6C(=O)C(NC(=O)OC)C(C)C)nc54)c3)cc2)[nH]1)C(C)C,18.97899
10973478,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccc(F)cc3)c(Cl)nc(NCCc3ccccc3)c2=O)cc1,18.972647
10962508,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3F)c(Cl)nc(NCCc3ccccc3)c2=O)cc1,18.972647
11124327,N=C(N)c1ccc(CNC(=O)Cn2c(-c3cccc(F)c3)c(Cl)nc(NCCc3ccccc3)c2=O)cc1,18.972647
11641509,CN1CCC(C)(c2nc(-c3ccc(C(=O)NC4(C(=O)NCC#N)CCCCC4)cc3)cs2)CC1,18.970722
23647039,COC(=O)C1CCN(CCc2cccc3c2[nH]c2c4ccc5ccn(C)c5c4c4c(c32)C(=O)NC4=O)CC1,18.964176
53276,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,18.956474
11431694,CNC(=O)C1Cc2ccc(NS(=O)(=O)O)cc2CN1C(=O)CCc1ccc(C(F)(F)F)cc1,18.953426
160726567,Cn1ccc2c(C(Nc3cc(C#N)c4ncc(C#N)c(NCC(C)(C)C(F)(F)F)c4c3)C3=CN(C45CC(C4)C5)NN3)cccc2c1=O,18.953094
56946894,CC(=O)Nc1cc(Nc2cc(NC3CC3)n3ncc(C#N)c3n2)ccc1N(C)CCN,18.951447
11328571,CC(C)CC(CC(=O)NO)C(=O)NC1Cc2cn(c3ccccc23)CCCCCCNC1=O,18.951405
135339803,Cn1ncc2cc(-c3ccc(C(=O)N4CCC(N)C4)cc3-c3ccc(C#N)c(F)c3)c(F)cc21,18.947031
72550276,CCOC(=O)NC1C(C)CC(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)CC1N,18.944435
44337205,NC(N)=NCCCCNC(=O)C1CCC2CN(C(=O)CCc3ccccc3)CC(=O)N21,18.941498
54708715,CN(C)C(=O)C(=O)N(C)C1CCCCn2c1nc(C(=O)NCc1ccc(F)cc1)c(O)c2=O,18.940367
146368333,Cc1c(N2CCCC2)nc2ccc(Br)cc2c1C(=O)NCC(CCC(=O)O)c1ccccc1Cl,18.932127
139383428,Cc1cc(CC(CCCCNCc2ccc(F)cc2)C(=O)NO)cc(C)c1F,18.921926
156271,COc1ccc(C2=NN(Cc3ccc(C(=O)O)cc3)C(=O)C3CCCCC23)cc1OC,18.917747
