PubChem_CID,Structure_SMILES
5329249,Cc1cc(C(=O)N2CCOCC2)[nH]c1C=C1C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21
25138069,CNC(C)C(=O)NC1CCCCC2CCC(C(=O)NC3CCCc4ccccc43)N2C1=O
23648426,O=C(NC1CCCCC1O)C1CN(Cc2ccc(-n3cccn3)cc2)c2ccccc2O1
44317610,O=C(NC1Cc2ccccc2C2CCCC(C(=O)O)N2C1=O)C(S)Cc1ccccc1
24995073,CC1CN(C(=O)c2ccccc2)CCN1C(=O)C(=O)c1ccc(-c2ccn[nH]2)cc1F
68748835,CC1C(c2ccccc2)CC(NC(=O)c2cnc3c(c2)CC2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F
91895845,CC(c1ccc(-c2cccc(-c3noc(C4CC4)n3)c2)cc1)C([NH3+])C(=O)N1CCC(F)C1
44631912,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1
25133976,CC(=O)N1CCCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1
44337979,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc2ccccc2c1
5327928,O=C1NC(=O)C(c2cn(CCCO)c3ccccc23)=C1c1c[nH]c2ccccc12
128389,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1I
165112221,CN(C(=O)C(=O)Nc1ccc(C(F)(F)F)cc1C(F)(F)F)C(CC1CC1)C(=O)N1CC2(CC1C#N)C(=O)Nc1ccccc12
44405654,Cc1cc(O)cc(C)c1CC(N)C(=O)N1Cc2ccccc2CC1C(=O)NCCCCCCNC(=O)C1Cc2ccccc2CN1
91895733,CC(c1ccc(-c2ccc(=O)n(-c3ccc(F)cc3)c2)cc1)C([NH3+])C(=O)N1CCC(F)C1
155207651,O=C1CCC(N2C(=O)c3cccc4c(Cc5ccc(CN6CCOCC6)cc5)ccc2c34)C(=O)N1
60168030,Cc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)c(O)c1
10237960,O=c1c2cc(C#CCc3ccccc3)ccc2ncn1Cc1ccc(-c2nn[nH]n2)cc1
44516953,CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1
11295207,CC(C)CC1C(=O)NC(C2Cc3ccccc3C2)C(=O)N1C(C(=O)N1CC(O)C1)c1ccc(F)cc1F
23725625,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1
126274,O=C1NC2=C(C(=O)c3ccccc32)C(c2ccccc2)N1
78357766,Cc1nc(Nc2cnn(C3CCNCC3)c2)nc2c1N(C)C(=O)c1cc3ccccc3cc1N2C
121305407,CN1C(=O)CCc2c1ccc(-c1[nH]ncc1CC1CCN(C(=O)c3ccnn3C)CC1)c2F
54759606,Cc1[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c(C)c1NC(=O)CCN1CCN(C)CC1
9365,N#Cc1ccc(N2CCN(C(=O)COc3ccc4[nH]cc(CCN)c4c3)CC2)cc1
117709184,CC(C)(NC(=O)C1C2CNCC21)c1[nH]nc2c(F)cccc12
24898024,CCN1CCN(c2cc(C)c3cc(NC(=O)c4cc(=O)c5ccccc5o4)ccc3n2)CC1
5329240,Cc1c(C(=O)N2CCN(C)CC2)c[nH]c1C=C1C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
132947,CN(CCCCCCCCN(C)CCCCCCN(CC(=O)N1c2ccccc2C(=O)Nc2cccnc21)CC(=O)N1c2ccccc2C(=O)Nc2cccnc21)CCCCCCNCC(=O)N1c2ccccc2C(=O)Nc2cccnc21
11751106,O=C(NO)C1CC(CC(=O)N2CCCC2)CCC1C(=O)N1CCN(c2ccccc2)CC1
44358923,CC1CN(Cc2cccn2S(=O)(=O)c2ccccc2)CCC1(C)c1cccc(C(N)=O)c1
124221352,O=C1NNC(Cc2ccc(F)c(C(=O)N3CCN(C(=O)c4ccc(Cl)nc4)CC3)c2)C2CCCCC12
24754886,CNC(C)C(=O)NC(C(=O)N1CCCC1C(=O)NC1c2ccccc2-c2ccccc21)C(C)(C)C
11248095,O=c1[nH]c2c(c3ccccc13)Cc1cc(S(=O)(=O)NCCCN3CCOCC3)c(F)cc1-2
56649297,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCn2nc(C(F)(F)F)nc2C1
5330289,Cc1c(Br)c(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CC(C)NC(C)C4)cn3)ncc12
71626523,CC1(C)CC2=NNC(=O)c3cccc4c3c2c(n4CCN2CCCCC2)C1
24180125,O=C(Nc1ccccc1-c1cn2c(CN3CCNCC3)csc2n1)c1cnc2ccccc2n1
25142042,CCCN1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1
65924,Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4ccc(N(CCCl)CCCl)cc4)cn3C)cn2C)cc1C(=O)NCCC(=N)N
11719003,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccccc1Cl
10160968,COC(=O)CC1Nc2ccc(C(=O)N(C)Cc3cc4ccccc4n3C)cc2CN(C)C1=O
86279927,CC(=O)N1CCN(c2ccc(Nc3ncc4c(C)cc(=O)n(C5CCCC5)c4n3)cc2)CC1
91937223,Nc1c(C(=O)c2cccc(C#CCN3CCOCC3)c2)cnn1-c1ccc(F)cc1
124221296,CCC(=O)N1CCN(C(=O)c2cc(CC3NNC(=O)C4CCCNC34)ccc2F)CC1
11675748,Nc1c(C(=O)c2cccc(C#CCN3CCCCC3)c2)cnn1-c1ccc(F)cc1
507883,O=C(C(=O)N1CCN(C(=O)c2ccccc2)CC1)c1c[nH]c2c(-c3nc4ccccc4[nH]3)ccc(F)c12
71811260,CC(C(=O)NCc1ccccc1)C(=O)NC1C(=O)N(C)c2ccccc2-c2ccccc21
5330290,Cc1c(Br)c(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCN(C)CC4)cn3)ncc12
146011864,Cc1cc(NC2NN(C3(CC#N)CCCCC3F)C3CCNC(=O)C23)ccc1C(=O)N1CCSCC1
23624307,NCCC(=O)Nc1ccc2cnn(S(=O)(=O)c3cccc4ccccc34)c2c1
134480550,NC(=O)c1c(N)nn2ccc(N3CC(F)CC3c3cc(F)ccc3F)nc12
11236902,CCC(C)C1C(=O)NC(C2Cc3ccccc3C2)C(=O)N1C(C(=O)N(C)C)c1ccc(C)nc1C
162439820,CN1CCC(C(C)(O)c2ccc3cnc(Nc4ccc(-n5cccn5)cc4F)cc3n2)CC1
11518553,CCC(C)C1C(=O)NC(C2Cc3ccccc3C2)C(=O)N1C(C(=O)N(C)C)c1cnc(C)cc1C
2187415,CC(=O)C1=C(O)C2C3c4c[nH]c5cccc(c45)CC3C(C)(C)N2C1=O
164608179,CC1CN(c2cc(F)c(-c3cccc(F)n3)cc2NC(=O)C2CNC(=O)CC2C(F)(F)F)CCN1C
124221424,Cc1nc2ccc(C(=O)N3CCN(C(=O)c4cc(CC5NNC(=O)C6CCCCC56)ccc4F)CC3)cc2[nH]1
448215,COc1cc(C(=O)N2CCC(O)C(N)C2)cc2nc(-c3cc4ccccc4n3CC3CC3)n(C)c12
25155578,O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCN(C(=O)C2CCCC2)CC1
11399540,NC(=O)c1cccc(CC2CC(Cc3ccccc3)N(CC(O)CC(Cc3ccccc3)C(=O)NC3c4ccccc4CC3O)C2=O)c1
